NM_MUNICIPIO,NR_TURNO,NR_SECAO,NM_LOCAL_VOTACAO,NR_LATITUDE,NR_LONGITUDE
MARÍLIA,1,398,EE. PROFA. ORACINA CORREA DE MORAES RODINE,-22.2025579,-49.9681609
TUPÃ,1,32,EE. PROF. HELENA PAVANELLI PORTO,-21.9387273,-50.5131266
TUPÃ,1,4,EE. ÍNDIA VANUIRE,-21.9350893,-50.5169581
MARÍLIA,1,197,EE. PROFA. SYLVIA RIBEIRO DE CARVALHO,-22.2569532,-49.9294537
OSVALDO CRUZ,1,7,ETEC AMIM JUNDI,-21.7914906,-50.8765847
PRESIDENTE PRUDENTE,1,281,E. M. ANTÔNIO MOREIRA LIMA,-22.1611826,-51.4550199
MARÍLIA,1,268,EE DR. LOURENÇO DE ALMEIDA SENNE,-22.1955906,-49.962607
PRESIDENTE PRUDENTE,1,108,E.E.  PROFª MARIETTA FERRAZ ASSUMPÇÃO,-22.1387553,-51.3893063
PRESIDENTE PRUDENTE,1,407,E. E. TEOFILO GONZAGA DA SANTA CRUZ,-22.0842638,-51.3972269
RANCHARIA,1,16,EM. DR. JULIO LUCANT,-22.2271764,-50.8917237
MARÍLIA,1,50,E.E. PROF ANTONIO REGINATO,-22.1809221,-49.9602274
PRESIDENTE PRUDENTE,1,101,E.E. CLOTILDE VEIGA DE BARROS,-22.14686,-51.3862251
PRESIDENTE PRUDENTE,1,405,E.M. PROFª JOVITA TERIN,-22.0870122,-51.3831653
TUPÃ,1,70,EE.  PROF. ESTHER VERIS CERPE,-21.9314332,-50.5213298
TUPÃ,1,144,EE. MAESTRO NELSON DE CASTRO,-21.9428371,-50.5225869
TUPÃ,1,99,EE. LUIZ DE SOUZA LEÃO,-21.932653,-50.5022959
PRESIDENTE PRUDENTE,1,96,E.E. ANTÔNIO FIORAVANTE DE MENEZES,-22.1297893,-51.3830708
PRESIDENTE PRUDENTE,1,264,COLÉGIO JP,-22.1072177,-51.4194805
MARÍLIA,1,252, EMEF. PROFª RENY PEREIRA CORDEIRO,-22.2381417,-49.9154975
MARÍLIA,1,98, E.E. PROFª MARIA CECÍLIA FERRAZ DE FREITAS ,-22.2458311,-49.927021
MARÍLIA,1,121,E.E. PROFº BENITO MARTINELLI,-22.1519235,-49.961232
PRESIDENTE PRUDENTE,1,31,E. E. FERNANDO COSTA,-22.1204416,-51.3881245
ADAMANTINA,1,8,EE. PROFESSORA FLEURIDES CAVALLINI MENECHINO,-21.6930535,-51.0701944
MARÍLIA,1,241,EMEI. ESTRELINHA DOURADA ,-22.1761929,-49.9545109
MARÍLIA,1,257,EMEF. PROFº ISALTINO DE CAMPOS,-22.1473366,-49.9599627
TUPÃ,1,124,EE .PROF. IRENE RESINA MIGLIORUCCI,-21.9303421,-50.4944143
PRESIDENTE PRUDENTE,1,38,E.E. MONSENHOR SARRION,-22.1337902,-51.3914742
DRACENA,1,111,COLÉGIO DASK,-21.4898718,-51.5223318
MARÍLIA,1,117,EE. BENTO DE ABREU SAMPAIO VIDAL,-22.2106909,-49.9343945
MARÍLIA,1,140,EMEF ROBERTO CAETANO CIMINO,-22.1629709,-49.9453475
MARÍLIA,1,156, EE. PROFª REIKO UEMURA TSUNOKAWA,-22.1718078,-49.9582154
DRACENA,1,5,EMEFI JOAO VENDRAMINI,-21.4832305,-51.5344182
PRESIDENTE PRUDENTE,1,382,E.M. PROFª ELIANE TADIOTTO DE ARAUJO,-22.0792295,-51.3816971
MARÍLIA,1,6,EE ABEL AUGUSTO FRAGATA,-22.2231821,-49.9606052
PRESIDENTE PRUDENTE,1,236,COLÉGIO ANGLO PRUDENTINO,-22.1300136,-51.4088415
MARÍLIA,1,12,INSTITUTO DAS APÓSTOLAS SAGRADO CORAÇÃO DE JESUS,-22.2132291,-49.9478041
MARÍLIA,1,16,INSTITUTO DAS APÓSTOLAS SAGRADO CORAÇÃO DE JESUS,-22.2132291,-49.9478041
MARÍLIA,1,40,E.E. PROF ANTONIO DE BAPTISTA,-22.1891408,-49.9575689
PRESIDENTE PRUDENTE,1,269,E.E.  PROF. MIGUEL OMAR BARRETO,-22.1334587,-51.4383791
MARÍLIA,1,141,EMEI. MONTEIRO LOBATO,-22.2176175,-49.9413103
PRESIDENTE PRUDENTE,1,272,CENTRO DE EDUCAÇÃO INTEGRAL CIDADE ESCOLA JOSÉ CARLOS PIMENTA,-22.1145348,-51.405466
PRESIDENTE PRUDENTE,1,303,TOLEDO PRUDENTE CENTRO UNIVERSITÁRIO - BLOCO 01,-22.1142343,-51.3760963
PRESIDENTE PRUDENTE,1,174,E. E. JOÃO ALFREDO DA SILVA,-21.914168,-51.3018379
MARÍLIA,1,189,EMEF ROBERTO CAETANO CIMINO,-22.1629709,-49.9453475
PRESIDENTE PRUDENTE,1,112,TOLEDO PRUDENTE CENTRO UNIVERSITÁRIO - BLOCO 01,-22.1142343,-51.3760963
PRESIDENTE PRUDENTE,1,20,E.E. FLORIVALDO LEAL,-22.1292137,-51.3941376
MARÍLIA,1,66,EE GABRIEL MONTEIRO DA SILVA,-22.2157852,-49.9542383
PRESIDENTE PRUDENTE,1,110,E. E.  COMENDADOR TANNEL ABBUD,-22.1149986,-51.3763971
MARÍLIA,1,108,E.E. PROFª RUTH MAMEDE DE GODOY ,-21.9965033,-49.977764
MARÍLIA,1,157,EMEI. CRECHE RODA PIÃO ,-22.1976708,-49.9529042
